equip_index_dec,equip_index_hex,top_list_ptr,top_list_pc,top_list_len_bytes,terminated,hook_sequence,is_nondefault
191,0xBF,CB:0E3E,0x0B0E3E,10,True,84->03DB 83->03E1 82->0408,False
192,0xC0,CB:0E48,0x0B0E48,10,True,84->03DB 83->03E1 82->0408,False
193,0xC1,CB:0E52,0x0B0E52,10,True,84->03DB 83->03E1 82->0408,False
194,0xC2,CB:0E5C,0x0B0E5C,10,True,84->03DB 83->03E1 82->0408,False
195,0xC3,CB:0E66,0x0B0E66,10,True,84->03DB 83->03E1 82->0408,False
196,0xC4,CB:0E70,0x0B0E70,10,True,84->03DB 83->03E1 82->0408,False
197,0xC5,CB:0E7A,0x0B0E7A,10,True,84->03DB 83->03E1 82->0408,False
198,0xC6,CB:0E84,0x0B0E84,10,True,84->03DB 83->03E1 82->0408,False
199,0xC7,CB:0E8E,0x0B0E8E,10,True,84->03DB 83->03E1 82->0408,False
200,0xC8,CB:0E98,0x0B0E98,10,True,84->03DB 83->03E1 82->0408,False
201,0xC9,CB:0EA2,0x0B0EA2,10,True,84->03DB 83->03E1 82->0408,False
202,0xCA,CB:0EAC,0x0B0EAC,10,True,84->03DB 83->03E1 82->0408,False
203,0xCB,CB:0EB6,0x0B0EB6,10,True,84->03DB 83->03E1 82->0408,False
204,0xCC,CB:0EC0,0x0B0EC0,10,True,84->03DB 83->03E1 82->0408,False
205,0xCD,CB:0ECA,0x0B0ECA,10,True,84->03DB 83->03E1 82->0408,False
206,0xCE,CB:0ED4,0x0B0ED4,10,True,84->03DB 83->03E1 82->0408,False
207,0xCF,CB:0EDE,0x0B0EDE,10,True,84->03DB 83->0EE8 82->0408,True
208,0xD0,CB:0EF0,0x0B0EF0,10,True,84->03DB 83->03E1 82->0408,False
209,0xD1,CB:0EFA,0x0B0EFA,10,True,84->03DB 83->0F04 82->0408,True
210,0xD2,CB:0F0C,0x0B0F0C,10,True,84->03DB 83->03E1 82->0408,False
211,0xD3,CB:0F16,0x0B0F16,10,True,84->03DB 83->03E1 82->0408,False
212,0xD4,CB:0F20,0x0B0F20,10,True,84->03DB 83->03E1 82->0408,False
213,0xD5,CB:0F2A,0x0B0F2A,10,True,84->03DB 83->03E1 82->0408,False
214,0xD6,CB:0F34,0x0B0F34,10,True,84->03DB 83->03E1 82->0408,False
215,0xD7,CB:0F3E,0x0B0F3E,10,True,84->03DB 83->03E1 82->0408,False
216,0xD8,CB:0F48,0x0B0F48,10,True,84->03DB 83->03E1 82->0408,False
217,0xD9,CB:0F52,0x0B0F52,10,True,84->03DB 83->03E1 82->0408,False
218,0xDA,CB:0F5C,0x0B0F5C,10,True,84->03DB 83->03E1 82->0408,False
219,0xDB,CB:0F66,0x0B0F66,10,True,84->03DB 83->03E1 82->0408,False
220,0xDC,CB:0F70,0x0B0F70,10,True,84->03DB 83->03E1 82->0408,False
221,0xDD,CB:0F7A,0x0B0F7A,10,True,84->03DB 83->03E1 82->0408,False
222,0xDE,CB:0F84,0x0B0F84,10,True,84->03DB 83->03E1 82->0408,False
223,0xDF,CB:0F8E,0x0B0F8E,10,True,84->03DB 83->03E1 82->0408,False
224,0xE0,CB:0F98,0x0B0F98,10,True,84->03DB 83->03E1 82->0408,False
225,0xE1,CB:0FA2,0x0B0FA2,10,True,84->03DB 83->03E1 82->0408,False
226,0xE2,CB:0FAC,0x0B0FAC,10,True,84->03DB 83->03E1 82->0408,False
227,0xE3,CB:0FB6,0x0B0FB6,10,True,84->03DB 83->03E1 82->0408,False
228,0xE4,CB:0FC0,0x0B0FC0,10,True,84->03DB 83->03E1 82->0408,False
229,0xE5,CB:0FCA,0x0B0FCA,10,True,84->03DB 83->03E1 82->0408,False
230,0xE6,CB:0FD4,0x0B0FD4,10,True,84->03DB 83->03E1 82->0408,False
231,0xE7,CB:0FDE,0x0B0FDE,10,True,84->03DB 83->03E1 82->0408,False
232,0xE8,CB:0FE8,0x0B0FE8,10,True,84->03DB 83->03E1 82->0408,False
233,0xE9,CB:0FF2,0x0B0FF2,10,True,84->03DB 83->03E1 82->0408,False
