pc,snes_lorom,asm,context_hex
04DC2B,89:DC2B,"LDA $0759,X",85 09 bd 19 06 85 0d bd 19 07 85 0f bd 59 07 85 10 20 ac cd 22 74 a4 80 bd 19 06 18 7d 59 06 9d 19 06 bd 99 06 18 7d d9 06 9d 99 06 bd 59 08 18
04DC41,89:DC41,"LDA $0699,X",a4 80 bd 19 06 18 7d 59 06 9d 19 06 bd 99 06 18 7d d9 06 9d 99 06 bd 59 08 18 7d 99 08 9d 59 08 18 bd 19 07 7d 99 07 9d 19 07 bd 59 07 7d d9 07
04DC48,89:DC48,"STA $0699,X",59 06 9d 19 06 bd 99 06 18 7d d9 06 9d 99 06 bd 59 08 18 7d 99 08 9d 59 08 18 bd 19 07 7d 99 07 9d 19 07 bd 59 07 7d d9 07 9d 59 07 de 19 08 f0
04DC5F,89:DC5F,"LDA $0759,X",59 08 18 bd 19 07 7d 99 07 9d 19 07 bd 59 07 7d d9 07 9d 59 07 de 19 08 f0 01 6b 22 35 ad 80 6b 22 58 a3 80 c2 20 a9 89 dc 85 0f e2 20 a9 38 85
04DC65,89:DC65,"STA $0759,X",7d 99 07 9d 19 07 bd 59 07 7d d9 07 9d 59 07 de 19 08 f0 01 6b 22 35 ad 80 6b 22 58 a3 80 c2 20 a9 89 dc 85 0f e2 20 a9 38 85 0d 22 1e ac 80 6b
04DE8B,89:DE8B,"STA $0699,X",22 82 a8 81 20 92 df 0a a8 b9 60 df 9d 99 06 b9 61 df 9d 19 07 9e 19 06 22 e8 ac 80 bc 19 06 b9 48 df f0 40 9d 59 06 c9 9e b0 09 38 e9 89 22 f4
04DEBA,89:DEBA,"LDA $0699,X",f4 a8 81 90 2b bd 59 06 22 16 92 83 bd 99 06 9d d9 06 bd 19 07 9d 59 07 22 e8 ac 80 de d9 06 bd d9 06 c9 ff d0 f2 de 59 07 bd 59 07 c9 ff d0 e8
04DEC3,89:DEC3,"STA $0759,X",16 92 83 bd 99 06 9d d9 06 bd 19 07 9d 59 07 22 e8 ac 80 de d9 06 bd d9 06 c9 ff d0 f2 de 59 07 bd 59 07 c9 ff d0 e8 fe 19 06 80 b4 a9 12 9d 59
04DED4,89:DED4,"DEC $0759,X",ac 80 de d9 06 bd d9 06 c9 ff d0 f2 de 59 07 bd 59 07 c9 ff d0 e8 fe 19 06 80 b4 a9 12 9d 59 08 a9 80 22 e3 ac 80 de 59 08 d0 f5 a9 b8 22 16 92
04DED7,89:DED7,"LDA $0759,X",d9 06 bd d9 06 c9 ff d0 f2 de 59 07 bd 59 07 c9 ff d0 e8 fe 19 06 80 b4 a9 12 9d 59 08 a9 80 22 e3 ac 80 de 59 08 d0 f5 a9 b8 22 16 92 83 a9 09
05A4D3,8B:A4D3,"STA $0699,X",19 06 a9 01 fa 60 22 07 82 81 a9 14 9d 99 06 a9 04 0c 4f 15 c2 20 a9 28 a4 85 0f e2 20 22 bf ad 80 a9 10 8d 62 15 ee 50 19 ad 57 15 9d d9 06 22
05AACB,8B:AACB,"STA $0699,X",9d 19 06 ad 79 03 9d 59 06 ad 9d 03 9d 99 06 ad 9e 03 9d d9 06 ad a3 03 9d 19 07 ad a4 03 9d 59 07 ad 77 03 9d 99 07 ad 73 03 9d d9 07 60 bd 59
05AADD,8B:AADD,"STA $0759,X",9d d9 06 ad a3 03 9d 19 07 ad a4 03 9d 59 07 ad 77 03 9d 99 07 ad 73 03 9d d9 07 60 bd 59 06 8d 79 03 bd 19 06 8d 76 03 bd 99 06 8d 9d 03 bd d9
05AAE3,8B:AAE3,"STA $0799,X",9d 19 07 ad a4 03 9d 59 07 ad 77 03 9d 99 07 ad 73 03 9d d9 07 60 bd 59 06 8d 79 03 bd 19 06 8d 76 03 bd 99 06 8d 9d 03 bd d9 06 8d 9e 03 bd 99
05AAF9,8B:AAF9,"LDA $0699,X",bd 59 06 8d 79 03 bd 19 06 8d 76 03 bd 99 06 8d 9d 03 bd d9 06 8d 9e 03 bd 99 07 8d 77 03 22 74 a4 80 bd d9 07 8d 73 03 60 ad 57 03 f0 4e ce 57
05AB05,8B:AB05,"LDA $0799,X",bd 99 06 8d 9d 03 bd d9 06 8d 9e 03 bd 99 07 8d 77 03 22 74 a4 80 bd d9 07 8d 73 03 60 ad 57 03 f0 4e ce 57 03 ad 57 03 20 b9 ab a9 01 22 fe ac
05C3B4,8B:C3B4,"LDA $0799,X",a3 80 a9 04 8d 79 03 a9 0f 8d 73 03 bd 99 07 c9 02 d0 03 ee 9e 03 22 e8 ac 80 bd 99 07 d0 03 20 da c6 a5 5b 89 81 f0 33 a9 80 8d 73 03 22 e8 ac
05C3C2,8B:C3C2,"LDA $0799,X",07 c9 02 d0 03 ee 9e 03 22 e8 ac 80 bd 99 07 d0 03 20 da c6 a5 5b 89 81 f0 33 a9 80 8d 73 03 22 e8 ac 80 22 04 80 83 22 b9 a3 80 22 0f a3 80 20
05C413,8B:C413,"STA $0699,X",9d 19 06 ad 79 03 9d 59 06 ad 9d 03 9d 99 06 ad 9e 03 9d d9 06 ad a3 03 9d d9 07 ad a4 03 9d 19 08 ad 77 03 9d 19 07 ad 73 03 9d 59 07 ad 3c 11
05C431,8B:C431,"STA $0759,X",9d 19 08 ad 77 03 9d 19 07 ad 73 03 9d 59 07 ad 3c 11 9d 59 08 60 bd 59 06 8d 79 03 bd 19 06 8d 76 03 bd 99 06 8d 9d 03 bd d9 06 8d 9e 03 bd d9
05C447,8B:C447,"LDA $0699,X",bd 59 06 8d 79 03 bd 19 06 8d 76 03 bd 99 06 8d 9d 03 bd d9 06 8d 9e 03 bd d9 07 8d a3 03 bd 19 08 8d a4 03 bd 19 07 8d 77 03 22 74 a4 80 bd 59
05C469,8B:C469,"LDA $0759,X",a4 03 bd 19 07 8d 77 03 22 74 a4 80 bd 59 07 8d 73 03 bd 59 08 8d 3c 11 60 bd 99 07 d0 0d 20 9f c4 a9 48 8d 9d 03 9c 9e 03 80 16 c9 03 b0 05 20
05C476,8B:C476,"LDA $0799,X",59 07 8d 73 03 bd 59 08 8d 3c 11 60 bd 99 07 d0 0d 20 9f c4 a9 48 8d 9d 03 9c 9e 03 80 16 c9 03 b0 05 20 7c c7 80 0d c9 04 b0 05 20 29 c9 80 04
05C777,8B:C777,"STA $0799,X",a9 18 85 0d 22 1e ac 80 aa ad 64 03 9d 99 07 fa 6b da aa ad cd 12 48 c2 20 ad ad 03 48 e2 20 a9 80 8d ad 03 9c ae 03 22 bd a3 80 c2 20 68 8d ad
05CB0A,8B:CB0A,"LDA $0699,X",22 7c cb 85 80 70 20 b9 cb 20 d9 cc bd 99 06 c9 02 90 6a bd 19 06 c9 02 90 1b c9 02 f0 12 c2 20 a9 0d d0 85 0f e2 20 22 bf ad 80 20 c0 cb 80 ac
05CBDF,8B:CBDF,"LDA $0759,X",9e 99 06 9e 59 07 a9 00 20 f7 cd 60 bd 59 07 d0 0e ad 4a 11 9d 59 07 de 99 06 20 b6 d0 80 24 ad 4a 11 22 66 80 85 90 0b a9 00 eb a9 25 22 10 a5
05CBE7,8B:CBE7,"STA $0759,X",20 f7 cd 60 bd 59 07 d0 0e ad 4a 11 9d 59 07 de 99 06 20 b6 d0 80 24 ad 4a 11 22 66 80 85 90 0b a9 00 eb a9 25 22 10 a5 80 80 e4 bd 59 07 22 2e
05CC06,8B:CC06,"LDA $0759,X",0b a9 00 eb a9 25 22 10 a5 80 80 e4 bd 59 07 22 2e 82 85 20 78 d0 9c 97 13 20 c0 cb 9c 97 13 60 9c 05 15 9c 5f 03 a9 35 22 72 b5 80 a9 31 22 40
05CD1F,8B:CD1F,"LDA $0699,X",3d cd 85 00 a9 01 80 02 a9 ff 85 00 bd 99 06 d0 57 ad 4a 11 f0 49 18 bd 19 06 65 00 29 03 9d 19 06 20 90 cc 80 39 a9 01 80 02 a9 ff 85 06 bd 99
05CD41,8B:CD41,"LDA $0699,X",90 cc 80 39 a9 01 80 02 a9 ff 85 06 bd 99 06 f0 35 bd 59 06 bd 59 06 18 65 06 d0 04 a9 03 80 06 c9 04 90 02 a9 01 9d 59 06 bd 59 07 d0 09 bd 59
05CD5E,8B:CD5E,"LDA $0759,X",03 80 06 c9 04 90 02 a9 01 9d 59 06 bd 59 07 d0 09 bd 59 06 22 66 80 85 90 dd bd 59 06 20 f7 cd a9 00 eb a9 01 22 10 a5 80 6b 80 b7 cd 85 01 b7
05CDA2,8B:CDA2,"LDA $0699,X",cd 85 00 a9 00 eb a9 03 22 10 a5 80 bd 99 06 f0 4f de 99 06 a9 00 20 f7 cd 9e 59 07 20 e2 d0 80 3f a9 00 eb a9 02 22 10 a5 80 fe 99 06 bd 19 06
05CDCA,8B:CDCA,"STA $0699,X",a5 80 fe 99 06 bd 19 06 d0 07 a9 ff 9d 99 06 80 27 bd 19 06 c9 02 d0 0a bd 99 06 c9 01 d0 03 20 b6 d0 bd 59 06 20 f7 cd bd 99 06 c9 02 90 09 bd
05CDD6,8B:CDD6,"LDA $0699,X",9d 99 06 80 27 bd 19 06 c9 02 d0 0a bd 99 06 c9 01 d0 03 20 b6 d0 bd 59 06 20 f7 cd bd 99 06 c9 02 90 09 bd 59 06 8d 97 13 8d 4a 11 6b da 48 a2
05CDE6,8B:CDE6,"LDA $0699,X",01 d0 03 20 b6 d0 bd 59 06 20 f7 cd bd 99 06 c9 02 90 09 bd 59 06 8d 97 13 8d 4a 11 6b da 48 a2 00 bd 37 ce 9f 83 46 7e e8 e0 09 90 f4 68 0a aa
05D0CE,8B:D0CE,"LDA $0759,X",b4 12 a9 17 8d 0b 03 a9 04 8d 0d 03 bd 59 07 d0 04 a9 93 80 02 a9 94 22 2d a0 84 68 8d cd 12 60 a9 17 8d 0b 03 a9 04 8d 0d 03 a9 08 8d 0f 03 a9
05D69A,8B:D69A,"LDA $0699,X",80 1a 8d d1 12 18 7d 59 06 9d 59 06 bd 99 06 69 00 9d 99 06 9c d2 12 9c d3 12 a9 02 8d b6 00 9c b7 00 20 fb d6 22 b6 ae 84 fe 19 06 bd 19 06 c9
05D69F,8B:D69F,"STA $0699,X",18 7d 59 06 9d 59 06 bd 99 06 69 00 9d 99 06 9c d2 12 9c d3 12 a9 02 8d b6 00 9c b7 00 20 fb d6 22 b6 ae 84 fe 19 06 bd 19 06 c9 13 b0 26 a9 48
05D6F0,8B:D6F0,"LDA $0699,X",06 80 85 ce 68 12 bd 59 06 8d 15 03 bd 99 06 8d 16 03 22 35 ad 80 6b bc 19 06 b9 0b d7 8d 0b 03 b9 1e d7 8d 0d 03 60 02 05 08 0b 0e 11 14 17 1a
06855E,8D:855E,"STA $0799,X",9e 03 22 e8 ac 80 a9 53 22 16 92 83 9d 99 07 c2 20 a9 e0 8d 85 0f e2 20 a9 83 85 11 22 c3 ad 80 a9 07 22 cf 86 86 9e 19 06 9e 59 06 9c 7d 03 a9
068EFC,8D:8EFC,"STA $0759,X",01 8d 82 1f ae 67 00 dd 59 07 f0 1c 9d 59 07 22 42 8f 86 22 a1 8f 86 20 54 8f ae 67 00 bd 59 07 c9 02 d0 04 22 45 df 82 6b ae 67 00 bd 59 07 f0
068F0D,8D:8F0D,"LDA $0759,X",8f 86 22 a1 8f 86 20 54 8f ae 67 00 bd 59 07 c9 02 d0 04 22 45 df 82 6b ae 67 00 bd 59 07 f0 20 aa bf 23 08 c0 48 20 18 90 68 c9 03 90 12 a4 6a
068F1C,8D:8F1C,"LDA $0759,X",c9 02 d0 04 22 45 df 82 6b ae 67 00 bd 59 07 f0 20 aa bf 23 08 c0 48 20 18 90 68 c9 03 90 12 a4 6a 30 0e b9 67 0e c9 fc 90 07 ac 67 00 a9 00 91
06A38B,8D:A38B,"STA $0759,X",79 03 29 fd 8d 7a 03 ae 67 00 a9 b8 9d 59 07 85 07 64 06 a9 02 85 09 64 0a 22 2d be 86 20 49 a3 a9 04 8d 5f 03 a9 2e 22 40 b3 80 22 e8 ac 80 a9
06A3EA,8D:A3EA,"LDA $0759,X",69 02 8d a1 03 22 e8 ac 80 ae 67 00 bd 59 07 38 e9 02 9d 59 07 85 07 64 06 a9 02 85 09 64 0a 22 2d be 86 80 d7 ee a9 1f a9 26 22 e3 ac 80 22 68
06A3F0,8D:A3F0,"STA $0759,X",e8 ac 80 ae 67 00 bd 59 07 38 e9 02 9d 59 07 85 07 64 06 a9 02 85 09 64 0a 22 2d be 86 80 d7 ee a9 1f a9 26 22 e3 ac 80 22 68 c2 86 22 e8 ac 80
06A436,8D:A436,"STA $0759,X",79 03 29 fd 8d 7a 03 ae 67 00 a9 b8 9d 59 07 85 07 64 06 a9 02 85 09 64 0a 22 2d be 86 20 49 a3 a9 04 8d 5f 03 a9 2e 22 40 b3 80 22 e8 ac 80 a9
06A495,8D:A495,"LDA $0759,X",69 04 8d a1 03 22 e8 ac 80 ae 67 00 bd 59 07 38 e9 04 9d 59 07 85 07 64 06 a9 02 85 09 64 0a 22 2d be 86 80 d7 ee a9 1f a9 32 22 e3 ac 80 22 68
06A49B,8D:A49B,"STA $0759,X",e8 ac 80 ae 67 00 bd 59 07 38 e9 04 9d 59 07 85 07 64 06 a9 02 85 09 64 0a 22 2d be 86 80 d7 ee a9 1f a9 32 22 e3 ac 80 22 68 c2 86 22 e8 ac 80
06A567,8D:A567,"STA $0699,X",80 d5 a9 0a 80 06 a9 1e 80 02 a9 32 9d 99 06 ee a9 1f 20 49 a3 ae 67 00 ad 79 03 9d 99 08 ad 7a 03 9d d9 08 ad 79 03 29 15 8d 79 03 ad 7a 03 29
06A5D6,8D:A5D6,"LDA $0699,X",8d 79 03 bd d9 08 8d 7a 03 ae 67 00 bd 99 06 22 e3 ac 80 22 68 c2 86 22 e8 ac 80 6b a9 04 22 e3 ac 80 ad 9c 03 49 01 8d 9c 03 80 f0 a9 03 22 e3
06A67F,8D:A67F,"STA $0699,X",d6 a8 03 31 09 03 fe ff b0 00 a9 96 9d 99 06 ee a9 1f 20 49 a3 a9 15 8d 79 03 a9 02 8d 7a 03 a9 73 8d 7e 03 ae 67 00 ad 79 03 9d 99 08 ad 7a 03
06A71E,8D:A71E,"LDA $0699,X",22 e8 ac 80 22 35 ad 80 6b ae 67 00 bd 99 06 22 e3 ac 80 22 68 c2 86 22 e8 ac 80 22 35 ad 80 6b a9 d2 9d 99 06 ee a9 1f 20 49 a3 a9 15 8d 79 03
06A734,8D:A734,"STA $0699,X",86 22 e8 ac 80 22 35 ad 80 6b a9 d2 9d 99 06 ee a9 1f 20 49 a3 a9 15 8d 79 03 a9 02 8d 7a 03 a9 73 8d 7e 03 ae 67 00 ad 79 03 9d 99 08 ad 7a 03
06A7A1,8D:A7A1,"STA $0699,X",80 a9 37 22 47 d7 80 4c e7 a6 a9 d2 9d 99 06 ee a9 1f 20 49 a3 a9 15 8d 79 03 a9 02 8d 7a 03 a9 73 8d 7e 03 ae 67 00 ad 79 03 9d 99 08 ad 7a 03
06B51E,8D:B51E,"LDA $0699,X",20 50 b5 20 96 b6 ae 67 00 fe 99 06 bd 99 06 c9 20 90 e7 a9 06 22 e3 ac 80 ae 67 00 a9 1f 9d 99 06 a9 01 22 e3 ac 80 20 50 b5 20 96 b6 ae 67 00
06B530,8D:B530,"STA $0699,X",e7 a9 06 22 e3 ac 80 ae 67 00 a9 1f 9d 99 06 a9 01 22 e3 ac 80 20 50 b5 20 96 b6 ae 67 00 de 99 06 d0 ec 22 25 c0 86 22 35 ad 80 6b a9 ff 85 1e
06B557,8D:B557,"LDA $0699,X",22 35 ad 80 6b a9 ff 85 1e ae 67 00 bd 99 06 8d b3 1f 85 1f c2 20 a9 b8 00 85 20 e2 20 22 81 c1 80 c2 20 a5 1e 8d b8 1f 49 ff ff 1a 8d b4 1f e2
06B5CB,8D:B5CB,"LDA $0699,X",1f e2 20 20 96 b6 ae 67 00 fe 99 06 bd 99 06 c9 20 90 df ae 67 00 a9 20 9d 99 06 22 e8 ac 80 20 2a b6 c2 20 8d b4 1f e2 20 20 96 b6 ae 67 00 de
06B5D7,8D:B5D7,"STA $0699,X",bd 99 06 c9 20 90 df ae 67 00 a9 20 9d 99 06 22 e8 ac 80 20 2a b6 c2 20 8d b4 1f e2 20 20 96 b6 ae 67 00 de 99 06 f0 05 de 99 06 d0 e2 a9 01 22
06B603,8D:B603,"STA $0699,X",e2 a9 01 22 e3 ac 80 ae 67 00 a9 1f 9d 99 06 a9 01 22 e3 ac 80 20 2a b6 c2 20 8d b8 1f e2 20 20 96 b6 ae 67 00 de 99 06 d0 e5 22 25 c0 86 22 35
06B631,8D:B631,"LDA $0699,X",22 35 ad 80 6b a9 ff 85 1e ae 67 00 bd 99 06 85 1f c2 20 a9 50 00 85 20 e2 20 22 81 c1 80 c2 20 a5 1e e2 20 60 68 b8 c0 00 00 00 20 00 00 00 5a
06B761,8D:B761,"STA $0699,X",22 db 80 83 ae 67 00 9d 99 09 a9 00 9d 99 06 22 e8 ac 80 20 7f b8 ae 67 00 bd 99 09 aa bd d9 09 f0 01 6b ae 67 00 bc 59 09 be 85 1b bd d9 05 30
06B7A7,8D:B7A7,"STA $0759,X",ac 80 22 35 ad 80 6b ae 67 00 a9 00 9d 59 07 a9 10 8d 7a 03 a9 27 8d 7e 03 a9 02 8d 7d 03 ae 67 00 bd 59 07 85 07 64 06 a9 10 85 09 64 0a 22 2d
06B7BC,8D:B7BC,"LDA $0759,X",27 8d 7e 03 a9 02 8d 7d 03 ae 67 00 bd 59 07 85 07 64 06 a9 10 85 09 64 0a 22 2d be 86 22 e8 ac 80 bd 59 07 1a 9d 59 07 c9 b8 90 dd 22 35 ad 80
06B7D1,8D:B7D1,"LDA $0759,X",85 09 64 0a 22 2d be 86 22 e8 ac 80 bd 59 07 1a 9d 59 07 c9 b8 90 dd 22 35 ad 80 6b a9 00 eb a9 8d 22 10 a5 80 20 bf b6 20 a8 b6 22 e8 ac 80 c2
06B7D5,8D:B7D5,"STA $0759,X",22 2d be 86 22 e8 ac 80 bd 59 07 1a 9d 59 07 c9 b8 90 dd 22 35 ad 80 6b a9 00 eb a9 8d 22 10 a5 80 20 bf b6 20 a8 b6 22 e8 ac 80 c2 20 a9 5c b8
06B88F,8D:B88F,"LDA $0699,X",59 09 b9 85 1b a8 b9 d9 05 30 2e a8 bd 99 06 29 03 0a aa b9 67 0c 18 7d c3 b8 99 67 0c b9 a7 0c 7d c4 b8 99 a7 0c ae 67 00 bd 99 06 29 07 d0 09
06B8AC,8D:B8AC,"LDA $0699,X",b9 a7 0c 7d c4 b8 99 a7 0c ae 67 00 bd 99 06 29 07 d0 09 a9 00 eb a9 a4 22 10 a5 80 ae 67 00 fe 99 06 60 05 00 00 00 fd ff 00 00 ee a9 1f 20 a8
