pc,snes_lorom,asm,context_hex
01BD18,83:BD18,"LDA $0759,X",ae 80 6b bd 59 07 09 08 9d 59 07 6b bd 59 07 29 f7 9d 59 07 6b bd 59 07 29 f7 9d 59 07 a9 08 22 88 ae 80 6b a5 6a 48 a9 2c 84 6a 22 ec af 80 68
01BD1D,83:BD1D,"STA $0759,X",07 09 08 9d 59 07 6b bd 59 07 29 f7 9d 59 07 6b bd 59 07 29 f7 9d 59 07 a9 08 22 88 ae 80 6b a5 6a 48 a9 2c 84 6a 22 ec af 80 68 85 6a 6b a9 00
01BD21,83:BD21,"LDA $0759,X",59 07 6b bd 59 07 29 f7 9d 59 07 6b bd 59 07 29 f7 9d 59 07 a9 08 22 88 ae 80 6b a5 6a 48 a9 2c 84 6a 22 ec af 80 68 85 6a 6b a9 00 80 0a a9 10
01BD26,83:BD26,"STA $0759,X",07 29 f7 9d 59 07 6b bd 59 07 29 f7 9d 59 07 a9 08 22 88 ae 80 6b a5 6a 48 a9 2c 84 6a 22 ec af 80 68 85 6a 6b a9 00 80 0a a9 10 80 06 a9 20 80
01E757,83:E757,"LDA $0699,X",6d bd d9 07 29 1f a8 bd 59 06 85 2a bd 99 06 85 2b bd d9 06 85 2d bd 19 07 85 2e bd 59 07 85 30 bd 99 07 85 31 64 1f b1 2a 85 1e 10 02 c6 1f 64
01E766,83:E766,"LDA $0759,X",85 2b bd d9 06 85 2d bd 19 07 85 2e bd 59 07 85 30 bd 99 07 85 31 64 1f b1 2a 85 1e 10 02 c6 1f 64 21 b1 2d 85 20 10 02 c6 21 c2 20 a5 1e 18 6d
01E76B,83:E76B,"LDA $0799,X",85 2d bd 19 07 85 2e bd 59 07 85 30 bd 99 07 85 31 64 1f b1 2a 85 1e 10 02 c6 1f 64 21 b1 2d 85 20 10 02 c6 21 c2 20 a5 1e 18 6d 99 03 8d 99 03
01E7E7,83:E7E7,"STA $0699,X",9d 19 06 ad 9a 03 9d 59 06 ad 9b 03 9d 99 06 ad 9c 03 9d d9 06 22 e8 ac 80 ad ab 12 f0 48 ad 38 00 4a 29 03 3a c9 02 d0 02 a9 00 64 1f c9 00 10
01E827,83:E827,"LDA $0699,X",8d 99 03 bd 59 06 65 1f 8d 9a 03 18 bd 99 06 65 1e 8d 9b 03 bd d9 06 65 1f 8d 9c 03 38 ad 99 03 e5 20 8d 0c 15 6b bd 19 06 8d 99 03 bd 59 06 8d
01E84D,83:E84D,"LDA $0699,X",bd 19 06 8d 99 03 bd 59 06 8d 9a 03 bd 99 06 8d 9b 03 bd d9 06 8d 9c 03 22 35 ad 80 6b 8b da 4b ab ad 73 15 8d 0b 03 ad 7d 15 8d 0d 03 ad c7 15
01E9D7,83:E9D7,"STA $0759,X",06 9e 99 06 9e d9 06 20 9d eb a5 0c 9d 59 07 a5 0d 9d 99 07 a9 10 9d 19 07 a9 52 8d 7e 03 a9 20 8d 7d 03 a9 30 8d 86 03 a9 0f 8d 7f 03 a9 14 8d
01E9DC,83:E9DC,"STA $0799,X",d9 06 20 9d eb a5 0c 9d 59 07 a5 0d 9d 99 07 a9 10 9d 19 07 a9 52 8d 7e 03 a9 20 8d 7d 03 a9 30 8d 86 03 a9 0f 8d 7f 03 a9 14 8d 80 03 a9 18 8d
01EA4C,83:EA4C,"LDA $0699,X",eb 22 3f b0 83 6b 22 35 ad 80 6b 5a bd 99 06 29 0f d0 7d de 59 06 bd 59 06 c9 28 b0 08 a9 0c 22 1c c2 84 80 6b c9 38 f0 13 c9 37 f0 1a c9 2e f0
01EB60,83:EB60,"LDA $0759,X",00 5c 4c 01 5c 4d 02 5c 00 20 9d eb bd 59 07 c5 0c bd 99 07 e5 0d 30 0f de 59 07 bd 59 07 c9 ff d0 0d de 99 07 80 08 fe 59 07 d0 03 fe 99 07 bd
01EB65,83:EB65,"LDA $0799,X",4d 02 5c 00 20 9d eb bd 59 07 c5 0c bd 99 07 e5 0d 30 0f de 59 07 bd 59 07 c9 ff d0 0d de 99 07 80 08 fe 59 07 d0 03 fe 99 07 bd 59 07 85 09 bd
01EB6C,83:EB6C,"DEC $0759,X",bd 59 07 c5 0c bd 99 07 e5 0d 30 0f de 59 07 bd 59 07 c9 ff d0 0d de 99 07 80 08 fe 59 07 d0 03 fe 99 07 bd 59 07 85 09 bd 99 07 85 0a d0 0a 20
01EB6F,83:EB6F,"LDA $0759,X",c5 0c bd 99 07 e5 0d 30 0f de 59 07 bd 59 07 c9 ff d0 0d de 99 07 80 08 fe 59 07 d0 03 fe 99 07 bd 59 07 85 09 bd 99 07 85 0a d0 0a 20 c8 eb a9
01EB76,83:EB76,"DEC $0799,X",30 0f de 59 07 bd 59 07 c9 ff d0 0d de 99 07 80 08 fe 59 07 d0 03 fe 99 07 bd 59 07 85 09 bd 99 07 85 0a d0 0a 20 c8 eb a9 20 8d 7d 03 80 03 9c
01EB7B,83:EB7B,"INC $0759,X",bd 59 07 c9 ff d0 0d de 99 07 80 08 fe 59 07 d0 03 fe 99 07 bd 59 07 85 09 bd 99 07 85 0a d0 0a 20 c8 eb a9 20 8d 7d 03 80 03 9c 7d 03 60 bd 99
01EB80,83:EB80,"INC $0799,X",d0 0d de 99 07 80 08 fe 59 07 d0 03 fe 99 07 bd 59 07 85 09 bd 99 07 85 0a d0 0a 20 c8 eb a9 20 8d 7d 03 80 03 9c 7d 03 60 bd 99 06 85 0f bd d9
