offset,snes,bpp,chunk_size,visual_score,font_score,face_score,map_score,nonblank_ratio,avg_nonzero,avg_entropy,avg_unique,duplicate_ratio
0x033000,86:B000,4,0x1000,90.62,0.00,110.51,68.04,1.000,0.761,3.181,13.008,0.000
0x034000,86:C000,2,0x1000,92.58,36.13,100.00,66.19,1.000,0.598,1.840,4.000,0.000
0x034000,86:C000,4,0x1000,92.97,0.00,114.10,69.80,1.000,0.746,3.211,13.297,0.000
0x035000,86:D000,2,0x1000,48.05,26.86,48.83,48.05,0.488,0.788,0.884,2.465,0.508
0x035000,86:D000,4,0x1000,47.66,0.00,55.70,50.04,0.492,0.854,1.530,6.953,0.500
0x036000,86:E000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x036000,86:E000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x037000,86:F000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x037000,86:F000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x038000,87:8000,2,0x1000,71.48,32.71,61.33,63.09,0.980,0.471,1.374,3.207,0.152
0x038000,87:8000,4,0x1000,58.59,27.34,73.67,51.39,0.992,0.630,2.589,10.391,0.109
0x039000,87:9000,2,0x1000,71.09,28.81,94.14,54.19,0.953,0.569,1.758,3.848,0.043
0x039000,87:9000,4,0x1000,39.06,1.56,87.15,30.74,0.961,0.786,3.371,13.930,0.031
0x03A000,87:A000,2,0x1000,78.52,38.57,100.00,57.15,1.000,0.586,1.845,3.992,0.012
0x03A000,87:A000,4,0x1000,46.09,0.00,102.42,34.60,1.000,0.812,3.525,14.547,0.000
0x03B000,87:B000,2,0x1000,69.53,16.11,98.05,49.71,1.000,0.652,1.826,3.922,0.000
0x03B000,87:B000,4,0x1000,32.03,1.56,77.27,24.05,1.000,0.845,3.457,14.133,0.000
0x03C000,87:C000,2,0x1000,83.20,55.66,100.00,61.99,1.000,0.555,1.815,4.000,0.027
0x03C000,87:C000,4,0x1000,57.81,0.00,97.93,43.40,1.000,0.760,3.353,13.672,0.000
0x03D000,87:D000,2,0x1000,56.25,5.86,100.00,40.22,1.000,0.662,1.922,4.000,0.000
0x03D000,87:D000,4,0x1000,14.84,0.00,70.08,11.14,1.000,0.875,3.694,15.211,0.000
0x03E000,87:E000,2,0x1000,78.91,32.23,99.61,56.42,1.000,0.594,1.824,4.000,0.000
0x03E000,87:E000,4,0x1000,55.47,0.78,99.73,41.64,1.000,0.811,3.488,14.461,0.000
0x03F000,87:F000,2,0x1000,44.92,27.34,55.08,49.41,0.559,0.759,0.980,2.660,0.438
0x03F000,87:F000,4,0x1000,37.50,0.00,53.01,43.31,0.562,0.896,1.881,8.117,0.430
0x040000,88:8000,2,0x1000,93.75,74.22,95.70,67.03,1.000,0.497,1.652,3.961,0.000
0x040000,88:8000,4,0x1000,87.50,0.00,104.22,65.69,1.000,0.659,3.010,13.305,0.000
0x041000,88:9000,2,0x1000,100.00,96.19,100.00,71.50,1.000,0.422,1.606,4.000,0.000
0x041000,88:9000,4,0x1000,99.22,0.00,115.00,74.49,1.000,0.549,2.890,14.047,0.000
0x042000,88:A000,2,0x1000,100.00,103.52,100.00,71.50,1.000,0.407,1.568,3.996,0.000
0x042000,88:A000,4,0x1000,100.00,0.00,115.00,75.08,1.000,0.531,2.773,13.297,0.000
0x043000,88:B000,2,0x1000,100.00,88.87,99.61,71.50,1.000,0.378,1.503,3.984,0.000
0x043000,88:B000,4,0x1000,100.00,0.00,115.00,75.08,1.000,0.500,2.694,13.570,0.000
0x044000,88:C000,2,0x1000,92.58,104.98,58.59,75.74,0.977,0.212,0.924,3.445,0.094
0x044000,88:C000,4,0x1000,96.88,30.47,86.25,74.48,0.984,0.323,1.668,8.148,0.016
0x045000,88:D000,2,0x1000,94.53,106.93,55.86,78.15,0.992,0.180,0.821,3.379,0.102
0x045000,88:D000,4,0x1000,99.22,28.12,84.45,78.07,1.000,0.279,1.458,7.383,0.031
0x046000,88:E000,2,0x1000,98.05,117.19,89.06,72.21,0.980,0.322,1.190,3.617,0.020
0x046000,88:E000,4,0x1000,99.22,13.28,109.61,74.49,0.992,0.525,2.301,9.156,0.000
0x047000,88:F000,2,0x1000,75.78,91.31,63.28,76.33,0.758,0.480,0.889,2.969,0.266
0x047000,88:F000,4,0x1000,75.00,18.75,85.35,76.61,0.758,0.650,1.704,6.711,0.234
0x048000,89:8000,2,0x1000,77.34,6.84,100.00,55.30,1.000,0.635,1.891,4.000,0.000
0x048000,89:8000,4,0x1000,35.16,0.00,97.93,26.39,1.000,0.845,3.606,15.031,0.000
0x049000,89:9000,2,0x1000,62.50,3.91,100.00,44.69,1.000,0.652,1.914,4.000,0.000
0x049000,89:9000,4,0x1000,15.62,0.00,81.76,11.73,1.000,0.865,3.700,15.367,0.000
0x04A000,89:A000,2,0x1000,77.34,13.67,100.00,55.30,1.000,0.627,1.874,4.000,0.000
0x04A000,89:A000,4,0x1000,42.97,0.00,89.84,32.26,1.000,0.838,3.584,14.914,0.000
0x04B000,89:B000,2,0x1000,62.50,1.46,100.00,44.69,1.000,0.664,1.923,4.000,0.000
0x04B000,89:B000,4,0x1000,10.16,0.00,72.77,7.62,1.000,0.875,3.706,15.375,0.000
0x04C000,89:C000,2,0x1000,60.55,3.42,100.00,43.29,1.000,0.669,1.917,3.996,0.000
0x04C000,89:C000,4,0x1000,12.50,0.00,70.98,9.38,1.000,0.880,3.696,15.250,0.000
0x04D000,89:D000,2,0x1000,55.08,26.86,50.39,47.90,1.000,0.695,1.427,3.027,0.141
0x04D000,89:D000,4,0x1000,39.06,11.72,62.89,34.97,1.000,0.822,2.654,9.547,0.125
0x04E000,89:E000,2,0x1000,76.56,34.67,95.70,56.06,0.980,0.560,1.745,3.891,0.016
0x04E000,89:E000,4,0x1000,46.09,1.56,98.83,35.02,0.984,0.770,3.316,13.836,0.008
0x04F000,89:F000,2,0x1000,3.91,1.46,8.20,3.91,0.086,0.974,0.163,1.258,0.910
0x04F000,89:F000,4,0x1000,2.34,0.00,4.49,2.46,0.086,0.990,0.300,2.133,0.906
0x050000,8A:8000,2,0x1000,94.14,23.93,100.00,69.33,1.000,0.588,1.822,4.000,0.020
0x050000,8A:8000,4,0x1000,96.09,0.00,113.20,72.14,1.000,0.706,3.029,12.742,0.000
0x051000,8A:9000,2,0x1000,88.67,45.41,100.00,63.40,1.000,0.587,1.772,3.973,0.000
0x051000,8A:9000,4,0x1000,92.97,0.00,111.41,69.80,1.000,0.757,3.110,12.414,0.000
0x052000,8A:A000,2,0x1000,99.22,102.05,99.61,70.94,1.000,0.462,1.584,3.914,0.000
0x052000,8A:A000,4,0x1000,99.22,0.78,115.00,74.49,1.000,0.642,2.874,11.914,0.000
0x053000,8A:B000,2,0x1000,95.31,93.75,100.00,69.38,1.000,0.467,1.583,3.902,0.012
0x053000,8A:B000,4,0x1000,93.75,2.34,111.41,70.38,1.000,0.635,2.829,11.711,0.000
0x054000,8A:C000,2,0x1000,87.89,62.01,100.00,62.84,1.000,0.545,1.707,3.953,0.000
0x054000,8A:C000,4,0x1000,88.28,0.00,106.02,66.28,1.000,0.725,3.074,12.602,0.000
0x055000,8A:D000,2,0x1000,92.58,64.45,99.61,66.99,1.000,0.537,1.672,3.934,0.008
0x055000,8A:D000,4,0x1000,84.38,4.69,105.12,63.34,1.000,0.703,2.972,12.180,0.000
0x056000,8A:E000,2,0x1000,78.12,28.32,92.58,61.57,0.930,0.671,1.716,3.777,0.066
0x056000,8A:E000,4,0x1000,67.97,0.00,89.84,55.93,0.930,0.828,3.066,12.523,0.062
0x057000,8A:F000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x057000,8A:F000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x058000,8B:8000,2,0x1000,81.25,12.70,99.61,58.44,1.000,0.631,1.862,3.992,0.004
0x058000,8B:8000,4,0x1000,62.50,0.00,99.73,46.92,1.000,0.846,3.470,14.195,0.000
0x059000,8B:9000,2,0x1000,77.34,24.90,98.83,55.63,1.000,0.616,1.858,3.973,0.004
0x059000,8B:9000,4,0x1000,47.66,0.00,94.34,35.78,1.000,0.833,3.559,14.797,0.000
0x05A000,8B:A000,2,0x1000,76.56,31.25,98.83,54.74,0.996,0.587,1.816,3.988,0.000
0x05A000,8B:A000,4,0x1000,50.00,0.78,97.03,37.54,1.000,0.791,3.462,14.562,0.000
0x05B000,8B:B000,2,0x1000,86.33,47.85,100.00,63.21,1.000,0.572,1.830,4.000,0.016
0x05B000,8B:B000,4,0x1000,59.38,0.00,103.32,44.58,1.000,0.778,3.437,14.352,0.000
0x05C000,8B:C000,2,0x1000,83.59,21.00,100.00,59.77,1.000,0.603,1.866,4.000,0.000
0x05C000,8B:C000,4,0x1000,46.09,0.00,104.22,34.60,1.000,0.811,3.545,14.859,0.000
0x05D000,8B:D000,2,0x1000,76.17,27.34,99.61,54.79,1.000,0.609,1.851,3.992,0.004
0x05D000,8B:D000,4,0x1000,47.66,0.00,89.84,35.78,1.000,0.823,3.526,14.531,0.000
0x05E000,8B:E000,2,0x1000,55.86,8.30,98.05,40.66,0.984,0.667,1.869,3.949,0.012
0x05E000,8B:E000,4,0x1000,16.41,0.00,64.69,12.47,0.984,0.869,3.589,14.883,0.008
0x05F000,8B:F000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x05F000,8B:F000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x060000,8C:8000,2,0x1000,66.02,5.37,99.61,47.20,1.000,0.679,1.905,3.996,0.000
0x060000,8C:8000,4,0x1000,17.19,0.00,72.77,12.90,1.000,0.882,3.673,15.234,0.000
0x061000,8C:9000,2,0x1000,70.31,8.79,99.22,50.27,1.000,0.686,1.897,4.000,0.000
0x061000,8C:9000,4,0x1000,16.41,0.00,65.59,12.32,1.000,0.890,3.657,15.148,0.000
0x062000,8C:A000,2,0x1000,62.11,8.30,97.66,44.41,1.000,0.718,1.908,4.000,0.000
0x062000,8C:A000,4,0x1000,15.62,0.00,42.23,11.73,1.000,0.914,3.670,15.195,0.000
0x063000,8C:B000,2,0x1000,58.20,1.95,97.66,52.37,1.000,0.725,1.921,4.000,0.168
0x063000,8C:B000,4,0x1000,6.25,0.00,44.92,5.31,1.000,0.915,3.702,15.156,0.086
0x064000,8C:C000,2,0x1000,64.45,5.86,98.05,46.64,1.000,0.726,1.912,4.000,0.008
0x064000,8C:C000,4,0x1000,13.28,0.00,44.92,9.97,1.000,0.912,3.676,15.227,0.000
0x065000,8C:D000,2,0x1000,20.31,1.46,29.30,20.31,0.297,0.906,0.565,1.891,0.699
0x065000,8C:D000,4,0x1000,3.91,0.00,19.77,4.10,0.297,0.964,1.092,5.227,0.695
0x066000,8C:E000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x066000,8C:E000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x067000,8C:F000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x067000,8C:F000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x068000,8D:8000,2,0x1000,73.83,13.67,100.00,53.10,1.000,0.617,1.879,3.996,0.004
0x068000,8D:8000,4,0x1000,32.81,0.00,101.52,24.63,1.000,0.833,3.598,15.016,0.000
0x069000,8D:9000,2,0x1000,74.22,9.28,100.00,53.07,1.000,0.625,1.891,4.000,0.000
0x069000,8D:9000,4,0x1000,33.59,0.00,89.84,25.22,1.000,0.831,3.608,15.055,0.000
0x06A000,8D:A000,2,0x1000,74.61,12.21,100.00,59.12,1.000,0.616,1.851,3.945,0.070
0x06A000,8D:A000,4,0x1000,26.56,1.56,92.54,20.42,1.000,0.816,3.532,14.609,0.016
0x06B000,8D:B000,2,0x1000,72.66,8.30,94.92,52.89,0.988,0.653,1.734,3.906,0.012
0x06B000,8D:B000,4,0x1000,31.25,2.34,72.77,23.46,0.992,0.846,3.214,12.922,0.000
0x06C000,8D:C000,2,0x1000,9.38,1.46,16.41,9.38,0.164,0.951,0.315,1.492,0.836
0x06C000,8D:C000,4,0x1000,1.56,0.00,8.09,1.64,0.164,0.985,0.609,3.391,0.828
0x06D000,8D:D000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x06D000,8D:D000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x06E000,8D:E000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x06E000,8D:E000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x06F000,8D:F000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x06F000,8D:F000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x070000,8E:8000,2,0x1000,59.77,22.95,100.00,42.73,1.000,0.639,1.871,3.996,0.000
0x070000,8E:8000,4,0x1000,35.16,0.00,73.67,26.39,1.000,0.841,3.576,15.008,0.000
0x071000,8E:9000,2,0x1000,68.36,17.58,99.61,48.88,1.000,0.642,1.882,4.000,0.000
0x071000,8E:9000,4,0x1000,43.75,0.00,79.06,32.85,1.000,0.835,3.592,15.047,0.000
0x072000,8E:A000,2,0x1000,67.97,28.32,100.00,48.60,1.000,0.633,1.874,4.000,0.000
0x072000,8E:A000,4,0x1000,47.66,0.00,84.45,35.78,1.000,0.831,3.564,14.773,0.000
