tile,tile_hex,count,palette,hflip,vflip,priority,vram_offset_if_charbase_8000_4bpp
514,0x202,9,3,0,0,1,0xC040
58,0x03A,9,3,1,1,0,0x8740
513,0x201,9,3,1,0,1,0xC020
258,0x102,9,4,1,0,0,0xA040
18,0x012,9,5,1,0,0,0x8240
531,0x213,9,5,0,0,0,0xC260
260,0x104,8,2,0,1,1,0xA080
307,0x133,8,2,1,0,0,0xA660
554,0x22A,8,3,0,1,0,0xC540
887,0x377,8,3,0,1,0,0xEEE0
788,0x314,8,3,0,1,0,0xE280
516,0x204,8,4,0,1,1,0xC080
258,0x102,8,5,1,1,0,0xA040
18,0x012,8,3,1,0,0,0x8240
314,0x13A,8,3,0,1,0,0xA740
259,0x103,8,3,1,1,1,0xA060
871,0x367,8,3,0,1,1,0xECE0
516,0x204,8,3,0,1,1,0xC080
260,0x104,8,6,0,0,0,0xA080
816,0x330,8,4,0,1,0,0xE600
826,0x33A,8,4,0,1,0,0xE740
260,0x104,8,2,1,1,0,0xA080
260,0x104,8,4,0,0,0,0xA080
787,0x313,8,2,1,0,1,0xE260
787,0x313,8,4,0,0,0,0xE260
2,0x002,8,4,1,0,0,0x8040
18,0x012,8,4,1,0,0,0x8240
787,0x313,8,4,0,0,1,0xE260
5,0x005,7,3,1,1,0,0x80A0
840,0x348,7,3,0,1,0,0xE900
532,0x214,7,4,0,1,1,0xC280
2,0x002,7,5,1,1,0,0x8040
261,0x105,7,5,1,1,0,0xA0A0
20,0x014,7,3,1,0,0,0x8280
298,0x12A,7,3,0,1,0,0xA540
258,0x102,7,2,1,1,1,0xA040
631,0x277,7,3,1,1,0,0xCEE0
119,0x077,7,3,1,1,0,0x8EE0
20,0x014,7,3,1,1,1,0x8280
57,0x039,7,3,1,1,0,0x8720
258,0x102,7,3,1,0,0,0xA040
5,0x005,7,2,0,1,0,0x80A0
887,0x377,7,4,0,1,0,0xEEE0
788,0x314,7,4,0,1,0,0xE280
314,0x13A,7,6,0,0,0,0xA740
570,0x23A,7,6,0,0,0,0xC740
786,0x312,7,4,0,0,0,0xE240
777,0x309,7,2,0,0,0,0xE120
515,0x203,7,3,1,0,0,0xC060
826,0x33A,7,3,0,1,1,0xE740
515,0x203,7,3,1,1,1,0xC060
786,0x312,7,3,1,1,1,0xE240
771,0x303,7,5,0,1,1,0xE060
771,0x303,6,5,1,1,0,0xE060
2,0x002,6,4,1,1,0,0x8040
517,0x205,6,2,1,0,0,0xC0A0
531,0x213,6,3,0,0,1,0xC260
382,0x17E,6,2,1,0,0,0xAFC0
260,0x104,6,2,0,1,0,0xA080
3,0x003,6,5,1,1,0,0x8060
4,0x004,6,5,1,1,0,0x8080
5,0x005,6,5,1,1,0,0x80A0
19,0x013,6,2,0,1,0,0x8260
276,0x114,6,3,1,0,0,0xA280
350,0x15E,6,2,1,0,0,0xABC0
375,0x177,6,3,0,1,0,0xAEE0
304,0x130,6,2,1,0,0,0xA600
773,0x305,6,3,0,0,0,0xE0A0
531,0x213,6,6,0,0,0,0xC260
584,0x248,6,2,1,1,0,0xC900
563,0x233,6,3,1,1,0,0xC660
298,0x12A,6,4,1,1,0,0xA540
772,0x304,6,4,0,0,0,0xE080
773,0x305,6,3,1,1,0,0xE0A0
516,0x204,6,4,0,0,0,0xC080
570,0x23A,6,3,1,0,0,0xC740
570,0x23A,6,3,1,1,0,0xC740
570,0x23A,6,2,1,1,0,0xC740
516,0x204,6,3,1,1,1,0xC080
769,0x301,6,3,0,1,1,0xE020
517,0x205,6,5,0,0,0,0xC0A0
298,0x12A,6,5,0,0,0,0xA540
375,0x177,6,5,1,0,0,0xAEE0
569,0x239,6,3,0,0,0,0xC720
561,0x231,6,3,0,0,0,0xC620
787,0x313,6,5,0,0,0,0xE260
275,0x113,6,2,1,1,1,0xA260
258,0x102,6,5,0,1,1,0xA040
771,0x303,5,2,0,1,0,0xE060
787,0x313,5,5,1,1,0,0xE260
786,0x312,5,5,1,1,0,0xE240
19,0x013,5,3,0,1,1,0x8260
260,0x104,5,3,1,0,1,0xA080
4,0x004,5,3,1,0,1,0x8080
622,0x26E,5,3,1,0,1,0xCDC0
381,0x17D,5,2,1,0,0,0xAFA0
516,0x204,5,3,1,0,0,0xC080
359,0x167,5,2,0,1,0,0xACE0
313,0x139,5,2,0,1,0,0xA720
584,0x248,5,3,0,1,0,0xC900
260,0x104,5,5,1,1,0,0xA080
19,0x013,5,3,1,0,0,0x8260
840,0x348,5,3,0,0,0,0xE900
328,0x148,5,3,1,0,0,0xA900
887,0x377,5,3,0,0,0,0xEEE0
349,0x15D,5,2,1,0,0,0xABA0
108,0x06C,5,3,1,1,1,0x8D80
584,0x248,5,3,0,1,1,0xC900
119,0x077,5,3,1,1,1,0x8EE0
72,0x048,5,3,1,1,1,0x8900
584,0x248,5,3,1,1,0,0xC900
631,0x277,5,3,0,1,1,0xCEE0
818,0x332,5,4,0,1,0,0xE640
276,0x114,5,6,0,0,0,0xA280
532,0x214,5,6,0,0,0,0xC280
871,0x367,5,4,0,1,0,0xECE0
261,0x105,5,4,1,1,0,0xA0A0
570,0x23A,5,3,1,0,1,0xC740
304,0x130,5,3,0,1,0,0xA600
305,0x131,5,3,0,1,0,0xA620
570,0x23A,5,2,1,0,0,0xC740
314,0x13A,5,2,1,1,0,0xA740
276,0x114,5,4,0,0,0,0xA280
786,0x312,5,2,1,0,1,0xE240
3,0x003,5,2,0,1,1,0x8060
554,0x22A,5,3,1,0,1,0xC540
787,0x313,5,3,1,1,1,0xE260
772,0x304,5,4,0,0,1,0xE080
810,0x32A,5,5,0,0,0,0xE540
276,0x114,5,5,1,0,0,0xA280
514,0x202,5,3,1,0,0,0xC040
770,0x302,4,2,0,1,0,0xE040
620,0x26C,4,3,1,0,1,0xCD80
623,0x26F,4,3,1,0,1,0xCDE0
530,0x212,4,3,0,0,1,0xC240
516,0x204,4,3,0,0,1,0xC080
532,0x214,4,3,0,0,1,0xC280
637,0x27D,4,2,1,0,0,0xCFA0
380,0x17C,4,2,1,0,0,0xAF80
5,0x005,4,5,0,1,0,0x80A0
276,0x114,4,5,0,1,1,0xA280
772,0x304,4,5,0,1,1,0xE080
584,0x248,4,4,0,1,1,0xC900
515,0x203,4,5,1,1,0,0xC060
615,0x267,4,3,0,1,0,0xCCE0
516,0x204,4,5,1,1,0,0xC080
366,0x16E,4,2,1,0,0,0xADC0
846,0x34E,4,3,0,1,0,0xE9C0
18,0x012,4,2,0,1,0,0x8240
375,0x177,4,3,1,0,0,0xAEE0
569,0x239,4,3,0,1,0,0xC720
103,0x067,4,3,1,1,0,0x8CE0
109,0x06D,4,3,1,1,1,0x8DA0
