map_base,char_base,bpp,score,nonblank_ref_ratio,top_palette_ratio,top_attr_ratio,tile_unique,tile_repeat_ratio,h_or_v_flip_ratio,priority_ratio,pair_repeat_ratio,top_tiles,top_attrs
9800,2000,4,7.3584,0.9854,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
9800,A000,4,7.2661,0.9238,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
9800,C000,4,7.2632,0.9219,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
F000,0000,2,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,0000,4,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,2000,2,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,2000,4,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,4000,2,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,4000,4,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,6000,2,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,6000,4,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,8000,2,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,8000,4,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,C000,2,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
F000,E000,4,7.0964,1.0,1.0,1.0,1,0.999,0.0,1.0,0.999,08F:1024,p2r1h0v0:1024
D800,0000,2,7.0331,1.0,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,0000,4,7.0331,1.0,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,2000,2,7.0331,1.0,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,4000,2,7.0331,1.0,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,2000,4,7.0214,0.9922,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,6000,2,7.0097,0.9844,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,4000,4,7.0082,0.9834,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,C000,2,7.0038,0.9805,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,6000,4,6.9848,0.9678,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,C000,4,6.9467,0.9424,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
D800,A000,4,6.9218,0.9258,0.9355,0.9287,55,0.9463,0.0322,0.0381,0.9083,000:898 080:8 060:7 090:6 010:6 040:5 0C0:5 001:4,p0r0h0v0:951 p4r1h0v0:12 p6r1h0v0:6 p6r1h0v1:5
