subcode_dec,subcode_hex,table_addr,table_file_pc,entry_bytes,target_addr,target_file_pc_hirom,used_in_39847_399E5,first_rtl_offset_within_96,target_first16,target_first64
89,59,84:9CF6,0x049CF6,32 D7 85,85:D732,0x05D732,0,23,9C 17 03 9C 18 03 C2 20 A9 4A D7 85 B9 E2 20 A9,9C 17 03 9C 18 03 C2 20 A9 4A D7 85 B9 E2 20 A9 85 85 BB 22 B8 AF 84 6B 32 18 12 3A 14 37 38 5E D7 85 21 49 33 50 50 01 00 01 17 03 C2 20 AD 17 03 CD 15 03 E2 20 F0 04 A9 00 80 02 A9 01 8D 6A
90,5A,84:9CF9,0x049CF9,77 D7 85,85:D777,0x05D777,0,54,DA A2 01 BF E5 D7 85 9F 64 5F 7E BF F9 D7 85 22,DA A2 01 BF E5 D7 85 9F 64 5F 7E BF F9 D7 85 22 A4 BB 80 18 7F 03 D8 85 85 00 0A 0A 65 00 0A 9F 6E 5F 7E E8 E0 0A 90 DB A9 01 8F 64 5F 7E AD 64 03 8F 6E 5F 7E FA 6B DA A2 01 BF EF D7 85 9F 50
91,5B,84:9CFC,0x049CFC,5B D8 85,85:D85B,0x05D85B,0,62,9C 6A 03 AF 64 5F 7E F0 35 C2 20 A9 64 5F 85 2A,9C 6A 03 AF 64 5F 7E F0 35 C2 20 A9 64 5F 85 2A E2 20 A9 7E 85 2C C2 20 A9 6E 5F 85 2D E2 20 A9 7E 85 2F 20 0D D8 22 B9 A3 80 C2 20 A9 D9 D8 85 B9 E2 20 A9 85 85 BB 22 B8 AF 84 EE 6A 03 6B 9C
92,5C,84:9CFF,0x049CFF,F7 D9 85,85:D9F7,0x05D9F7,0,41,DA A2 00 A9 00 9F 4A 5F 7E E8 E0 05 90 F5 A9 07,DA A2 00 A9 00 9F 4A 5F 7E E8 E0 05 90 F5 A9 07 22 A4 BB 80 85 1E AD 5D 19 3A 85 00 0A 0A 65 1E CD 65 03 F0 E9 8D 65 03 FA 6B DA A2 00 AD 6A 03 DF 64 DA 85 F0 04 E8 E8 80 F3 BF 65 DA 85 8D B4
93,5D,84:9D02,0x049D02,21 DA 85,85:DA21,0x05DA21,0,24,DA A2 00 AD 6A 03 DF 64 DA 85 F0 04 E8 E8 80 F3,DA A2 00 AD 6A 03 DF 64 DA 85 F0 04 E8 E8 80 F3 BF 65 DA 85 8D B4 12 AD 6B 03 8D B5 12 22 EE A0 84 A2 00 22 86 E2 84 AD B2 12 F0 0B DF 4A 5F 7E D0 0C E8 E0 05 90 EC A9 01 8D 67 03 80 03 9C 67
94,5E,84:9D05,0x049D05,AE D7 85,85:D7AE,0x05D7AE,0,54,DA A2 01 BF EF D7 85 9F 50 5F 7E BF F9 D7 85 22,DA A2 01 BF EF D7 85 9F 50 5F 7E BF F9 D7 85 22 A4 BB 80 18 7F 03 D8 85 85 00 0A 0A 65 00 0A 9F 5A 5F 7E E8 E0 0A 90 DB A9 01 8F 50 5F 7E AD 64 03 8F 5A 5F 7E FA 6B 00 39 3A 3B 3C 3D 3E 3F 40
95,5F,84:9D08,0x049D08,9A D8 85,85:D89A,0x05D89A,0,62,9C 6A 03 AF 50 5F 7E F0 35 C2 20 A9 50 5F 85 2A,9C 6A 03 AF 50 5F 7E F0 35 C2 20 A9 50 5F 85 2A E2 20 A9 7E 85 2C C2 20 A9 5A 5F 85 2D E2 20 A9 7E 85 2F 20 0D D8 22 B9 A3 80 C2 20 A9 D9 D8 85 B9 E2 20 A9 85 85 BB 22 B8 AF 84 EE 6A 03 6B 32
96,60,84:9D0B,0x049D0B,9C 90 85,85:909C,0x05909C,0,77,8B 5A DA 4B AB A2 00 C2 20 BD EA 90 85 2A E2 20,8B 5A DA 4B AB A2 00 C2 20 BD EA 90 85 2A E2 20 F0 0C A0 0F B1 2A A0 07 91 2A E8 E8 80 E9 A9 10 22 20 DB 80 A0 00 A9 10 22 2A DB 80 B7 30 48 B7 2D 48 B7 2A 48 A9 08 22 2A DB 80 68 97 2A 68 97
97,61,84:9D0E,0x049D0E,64 ED 81,81:ED64,0x01ED64,0,47,DA AD 64 03 0A AA C2 20 BF 94 ED 81 8D 23 19 E2,DA AD 64 03 0A AA C2 20 BF 94 ED 81 8D 23 19 E2 20 F0 18 22 57 DA 80 90 12 AD 2A 19 29 7F 22 8C 95 81 90 07 E8 E8 EE 64 03 80 DB EE 64 03 FA 6B 05 00 25 01 5A 00 08 00 41 00 E0 01 00 00 22 D1
98,62,84:9D11,0x049D11,A2 ED 81,81:EDA2,0x01EDA2,0,50,22 D1 CD 80 C2 20 AD 64 03 8D BB 13 E2 20 AD 73,22 D1 CD 80 C2 20 AD 64 03 8D BB 13 E2 20 AD 73 15 38 ED 66 03 8D 0B 03 AD 7D 15 8D 0D 03 AD 66 03 0A 1A 8D 0F 03 22 B0 D5 80 EE 0B 03 CE 0F 03 D0 F4 6B 22 D1 CD 80 C2 20 AD 64 03 8D BB 13 E2
