subcode_dec,subcode_hex,table_snes,table_pc,entry_bytes,target_snes,target_pc,target_class_guess,target_first16,used_in_39847_399E5_count
44,2C,89:9C6F,0x049C6F,84 83 81,81:8384,0x008384,data_or_vm_stream_like,39 ED 3D 0E 42 2F 46 50 4A 50 4A 50 4A 50 4A 31,0
45,2D,89:9C72,0x049C72,39 A3 81,81:A339,0x00A339,data_or_vm_stream_like,03 CD B1 03 E2 20 D0 F0 FA 7A 60 22 0F A3 80 A9,0
46,2E,89:9C75,0x049C75,73 DC 84,84:DC73,0x025C73,data_or_vm_stream_like,05 B1 05 B2 05 B3 02 B4 02 B4 02 B5 02 00 1E 00,0
47,2F,89:9C78,0x049C78,E5 B9 85,85:B9E5,0x02B9E5,data_or_vm_stream_like,38 60 20 CB B9 B0 0B BD D5 19 F0 06 C9 17 B0 02,0
48,30,89:9C7B,0x049C7B,C6 E7 81,81:E7C6,0x00E7C6,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
49,31,89:9C7E,0x049C7E,F5 BD 83,83:BDF5,0x01BDF5,cpu_code_like,C2 16 C2 1B C2 20 C2 25 C2 2F C2 2A C2 34 C2 3F,0
50,32,89:9C81,0x049C81,0C 99 85,85:990C,0x02990C,data_or_vm_stream_like,23 87 84 AD 85 19 D0 2B 20 00 9C AE 86 19 BD D5,2
51,33,89:9C84,0x049C84,80 9A 85,85:9A80,0x029A80,data_or_vm_stream_like,19 BD C5 19 F0 49 20 DA E1 22 0F A3 80 20 15 9B,0
52,34,89:9C87,0x049C87,E5 9D 85,85:9DE5,0x029DE5,data_or_vm_stream_like,19 F0 14 AE 86 19 22 AE 90 86 C2 20 A9 E2 9E 85,0
53,35,89:9C8A,0x049C8A,B7 A2 84,84:A2B7,0x0222B7,data_or_vm_stream_like,11 20 14 C4 05 20 0C C4 1C 20 14 B4 1D 20 14 BC,0
54,36,89:9C8D,0x049C8D,5E E8 81,81:E85E,0x00E85E,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
55,37,89:9C90,0x049C90,38 E9 81,81:E938,0x00E938,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
56,38,89:9C93,0x049C93,47 A3 81,81:A347,0x00A347,data_or_vm_stream_like,80 A9 0F 8D 73 03 80 03 9C 73 03 A9 01 8D AB 03,0
57,39,89:9C96,0x049C96,84 A3 81,81:A384,0x00A384,data_or_vm_stream_like,A3 80 22 AF A3 80 C2 20 A9 80 20 8D AD 03 E2 20,0
58,3A,89:9C99,0x049C99,65 A3 81,81:A365,0x00A365,data_or_vm_stream_like,03 48 E2 20 22 0F A3 80 AD 3C 11 F0 08 80 16 22,0
59,3B,89:9C9C,0x049C9C,57 93 81,81:9357,0x009357,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
60,3C,89:9C9F,0x049C9F,66 E9 81,81:E966,0x00E966,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
61,3D,89:9CA2,0x049CA2,B3 A3 81,81:A3B3,0x00A3B3,data_or_vm_stream_like,85 2B 20 20 A4 6B 22 B2 86 81 22 96 A7 84 9C AC,0
62,3E,89:9CA5,0x049CA5,15 8F 81,81:8F15,0x008F15,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
63,3F,89:9CA8,0x049CA8,55 AC 83,83:AC55,0x01AC55,cpu_code_like,60 22 92 AC 81 90 04 A9 00 80 14 A9 10 8D 54 15,0
64,40,89:9CAB,0x049CAB,3F EC 81,81:EC3F,0x00EC3F,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
65,41,89:9CAE,0x049CAE,60 EC 81,81:EC60,0x00EC60,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
66,42,89:9CB1,0x049CB1,CF A9 85,85:A9CF,0x02A9CF,cpu_code_like,C2 20 A9 8F 02 85 20 E2 20 22 AB C1 80 C2 20 A5,0
67,43,89:9CB4,0x049CB4,40 B1 85,85:B140,0x02B140,cpu_code_like,C2 20 AD 23 19 8D C8 1F E2 20 60 AE 8B 19 20 F9,0
68,44,89:9CB7,0x049CB7,AD B0 85,85:B0AD,0x02B0AD,cpu_code_like,AD 23 19 8D C8 1F E2 20 60 AE 86 19 AD 21 16 18,0
69,45,89:9CBA,0x049CBA,CD A3 81,81:A3CD,0x00A3CD,data_or_vm_stream_like,46 11 18 69 00 08 85 2A E2 20 20 20 A4 80 1F 9C,0
70,46,89:9CBD,0x049CBD,A6 98 81,81:98A6,0x0098A6,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
71,47,89:9CC0,0x049CC0,D3 A3 81,81:A3D3,0x00A3D3,data_or_vm_stream_like,85 2A E2 20 20 20 A4 80 1F 9C 0B 03 A9 10 8D 0D,0
72,48,89:9CC3,0x049CC3,30 E1 81,81:E130,0x00E130,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
73,49,89:9CC6,0x049CC6,5D C7 85,85:C75D,0x02C75D,data_or_vm_stream_like,8C 1D AD 8C 1D CD 8D 1D 90 C1 22 35 AD 80 6B 4B,0
74,4A,89:9CC9,0x049CC9,54 C9 85,85:C954,0x02C954,cpu_code_like,6B AE 67 00 AD 8A 1D 9D 99 09 9E D9 09 AE 67 00,0
75,4B,89:9CCC,0x049CCC,42 C9 85,85:C942,0x02C942,data_or_vm_stream_like,4C C5 B0 04 C8 80 F1 18 7A AB 60 8B 4B AB 20 31,0
76,4C,89:9CCF,0x049CCF,07 82 81,81:8207,0x008207,data_or_vm_stream_like,00 00 01 00 05 00 00 00 40 29 A0 56 00 00 E0 7F,0
77,4D,89:9CD2,0x049CD2,FE C9 85,85:C9FE,0x02C9FE,data_or_vm_stream_like,1B AE 67 00 FE D9 09 20 F4 C4 20 A0 CA C2 20 A9,0
78,4E,89:9CD5,0x049CD5,9D 95 85,85:959D,0x02959D,data_or_vm_stream_like,09 A9 0A 85 0A AD 8E 19 9D 46 1D C6 0A F0 EE A6,0
79,4F,89:9CD8,0x049CD8,DF 97 85,85:97DF,0x0297DF,data_or_vm_stream_like,06 BD 19 06 8D 8D 19 C2 20 A9 F2 CA 85 0F E2 20,0
80,50,89:9CDB,0x049CDB,B0 97 85,85:97B0,0x0297B0,cpu_code_like,AD 80 6B C2 20 AD 23 19 48 E2 20 BD D5 19 C9 19,0
81,51,89:9CDE,0x049CDE,A2 97 85,85:97A2,0x0297A2,cpu_code_like,AE 8D 19 20 36 96 68 D0 03 20 36 BA 22 35 AD 80,0
82,52,89:9CE1,0x049CE1,92 97 85,85:9792,0x029792,data_or_vm_stream_like,F0 0E AE 86 19 BD E5 19 F0 06 AE 8D 19 20 B3 97,0
83,53,89:9CE4,0x049CE4,4B A4 81,81:A44B,0x00A44B,data_or_vm_stream_like,80 7E A5 2A 9F 04 80 7E 8A 18 69 06 00 AA AD AD,0
84,54,89:9CE7,0x049CE7,65 A4 81,81:A465,0x00A465,data_or_vm_stream_like,88 D0 F7 8A 29 FF 3F 8D B1 03 E2 30 FA 7A 60 A9,0
85,55,89:9CEA,0x049CEA,92 B5 83,83:B592,0x01B592,data_or_vm_stream_like,18 AD 0D 03 9D A3 18 AD 23 19 9D B3 18 AD 24 19,0
