rank,off,hex_off,bpp,score,nonzero_ratio,entropy,unique_byte_count,window_size
45,1781760,0x1B3000,2,2.4188468091030972,0.97412109375,6.511321347824779,164,2048
46,681984,0x0A6800,2,2.418565659072422,0.97607421875,7.585634647579377,252,2048
47,1957888,0x1DE000,2,2.4185237385605274,0.98388671875,6.64154928348422,184,2048
48,1923072,0x1D5800,2,2.4183551299699415,0.97412109375,6.844887914759532,191,2048
49,1222656,0x12A800,2,2.4181220964707832,0.982421875,7.0684142717662635,217,2048
50,1806336,0x1B9000,2,2.4178879883334403,0.97119140625,6.826307031667522,187,2048
51,1961984,0x1DF000,4,2.41768565384034,0.97412109375,6.977032105722719,202,4096
52,1908736,0x1D2000,2,2.4175147392827268,0.9677734375,6.6768366642618115,172,2048
53,1980416,0x1E3800,2,2.417278204493776,0.98046875,6.110100635950209,139,2048
54,1818624,0x1BC000,2,2.4170909651699453,0.9716796875,6.914071471359561,195,2048
55,473088,0x073800,2,2.4168238105343782,0.9736328125,7.525996734275028,246,2048
56,1181696,0x120800,2,2.415317725957808,0.9716796875,7.149885557662465,215,2048
57,1904640,0x1D1000,2,2.414379528447143,0.9658203125,6.737692477577144,177,2048
58,1171456,0x11E000,2,2.4139971844583545,0.9853515625,7.362758725666837,246,2048
59,1949696,0x1DC000,4,2.4136952988324283,0.983154296875,6.449210828159426,171,4096
60,1884160,0x1CC000,2,2.4135822078959555,0.96875,6.596157663167644,169,2048
61,620544,0x097800,2,2.413457982685521,0.98046875,7.51703886148417,254,2048
62,202752,0x031800,2,2.412762481468673,0.97607421875,5.964209226749383,126,2048
63,1906688,0x1D1800,2,2.412136913620089,0.96826171875,6.752954683960714,182,2048
64,1875968,0x1CA000,4,2.4118830161547207,0.970947265625,7.0311969417377655,207,4096
65,83968,0x014800,2,2.4104411532581507,0.98291015625,5.701107351065206,113,2048
66,1910784,0x1D2800,2,2.410364287097342,0.96826171875,6.876273671778734,193,2048
67,690176,0x0A8800,2,2.410163086028338,0.9755859375,5.849273438226705,118,2048
68,1945600,0x1DB000,4,2.4087120744522093,0.982421875,6.855634095617673,206,4096
69,1892352,0x1CE000,2,2.408248963635368,0.96826171875,6.659351084082943,177,2048
70,1927168,0x1D6800,2,2.407995327190814,0.96630859375,6.880759492526512,193,2048
71,1959936,0x1DE800,2,2.405916729783766,0.96337890625,6.636786963270124,172,2048
72,507904,0x07C000,2,2.4058506894644887,0.98486328125,5.915946140715908,135,2048
73,1783808,0x1B3800,2,2.405846372445129,0.97265625,6.74989597956103,190,2048
74,1826816,0x1BE000,4,2.4054038867114897,0.9697265625,6.994012343691916,207,4096
75,1871872,0x1C9000,4,2.4053689391112525,0.970458984375,6.984943700390018,207,4096
76,1970176,0x1E1000,2,2.4053029338394527,0.98193359375,6.271720345715621,161,2048
77,1900544,0x1D0000,4,2.4048260717464665,0.972900390625,6.963803886471728,208,4096
78,1896448,0x1CF000,4,2.4047096564325927,0.970947265625,6.998810063960744,209,4096
79,925696,0x0E2000,2,2.4044337206292976,0.9951171875,7.294063515034382,256,2048
80,671744,0x0A4000,4,2.404319059942427,0.97314453125,7.556818104539415,256,4096
81,106496,0x01A000,2,2.4042852061209414,0.986328125,6.785844148967531,207,2048
82,1900544,0x1D0000,2,2.4040413555991877,0.96826171875,6.800690219793503,191,2048
83,1804288,0x1B8800,2,2.403308902846973,0.9638671875,6.097564972775787,131,2048
84,1798144,0x1B7000,4,2.402962833991567,0.973388671875,6.718038609432537,190,4096
85,518144,0x07E800,2,2.4027482265793223,0.978515625,5.742298312634577,117,2048
86,571392,0x08B800,2,2.4026129667211333,0.97216796875,7.504888108769065,252,2048
87,1177600,0x11F800,2,2.4025945415033414,0.97607421875,7.245365707026733,235,2048
88,622592,0x098000,4,2.401917160564671,0.970703125,7.5668997845173696,256,4096
89,647168,0x09E000,4,2.401841560405682,0.971923828125,7.551646545745456,256,4096
90,1867776,0x1C8000,2,2.40097229775954,0.9736328125,6.48668463207632,173,2048
91,1777664,0x1B2000,2,2.4007627742273794,0.9609375,6.862352193819034,191,2048
92,1814528,0x1BB000,4,2.400506491739128,0.974853515625,6.755809746413025,196,4096
93,1191936,0x123000,2,2.3999835999920904,0.96826171875,7.305728174936723,234,2048
94,1845248,0x1C2800,2,2.399752902610494,0.96533203125,6.67653884588395,181,2048
95,385024,0x05E000,2,2.3994781404167824,0.97998046875,6.586059498334258,188,2048
96,299008,0x049000,2,2.399235858188701,0.99169921875,6.468496240509607,190,2048
97,1931264,0x1D7800,2,2.3980040634030213,0.9609375,6.727782507224171,182,2048
98,1054720,0x101800,2,2.39765858562717,0.97998046875,7.24650306001736,242,2048
99,2007040,0x1EA000,2,2.3973622276006807,0.9912109375,6.246866570805445,173,2048
100,215040,0x034800,2,2.397286101571579,0.98095703125,6.006804437572633,144,2048
101,1896448,0x1CF000,2,2.397272826400131,0.96142578125,6.87857323620105,195,2048
102,530432,0x081800,2,2.3972044697826047,0.98046875,5.937010758260836,138,2048
103,1871872,0x1C9000,2,2.3971406495332266,0.96240234375,6.8782970712658145,196,2048
104,1994752,0x1E7000,2,2.397027591065539,0.97509765625,6.487548853524313,177,2048
105,1929216,0x1D7000,4,2.3969678484324928,0.969482421875,6.916953724959941,206,4096
106,430080,0x069000,2,2.3967085733664812,0.98193359375,6.590465461931848,192,2048
107,1214464,0x128800,2,2.3961530319484976,0.97216796875,7.290708630587983,239,2048
108,522240,0x07F800,2,2.3961472686755334,0.97509765625,5.805506274404266,123,2048
109,311296,0x04C000,2,2.3960485535945915,0.98486328125,6.925029053756733,222,2048
110,1806336,0x1B9000,4,2.395994939552935,0.97265625,6.696084516423479,192,4096
111,471040,0x073000,4,2.3957118730758435,0.962158203125,7.594796547106749,254,4096
112,229376,0x038000,2,2.395612827118537,0.958984375,6.232090116948297,142,2048
113,1150976,0x119000,2,2.395068841950692,0.98095703125,7.189066360605539,240,2048
114,2017280,0x1EC800,2,2.3949717210973684,0.98876953125,6.332039393778947,179,2048
115,604160,0x093800,2,2.3946340478763775,0.9716796875,7.371916133011019,246,2048
116,237568,0x03A000,2,2.394623890752082,0.9951171875,6.315584876016657,184,2048
117,53248,0x00D000,2,2.394608284426336,0.97021484375,6.526788150410687,177,2048
118,1841152,0x1C1800,2,2.394496785718946,0.9697265625,6.8817555357515685,205,2048
