call,rom_offset,callee,state_source_category,state_source,group_source_category,group_index_if_static,group_source,context_before,state_if_static,script_if_group_state_static
C5:E416,0x05E416,AE88_reset_cursor,imm_5D,#5D,unknown,,,C5:E3FF  d0 13       BNE $13 | C5:E401  a9 5c       LDA # $5C | C5:E403  22 88 ae 80 JSL $80:AE88 | C5:E407  ad 68 03    LDA abs $0368 | C5:E40A  18          CLC  | C5:E40B  69 14       ADC # $14 | C5:E40D  8d 68 03    STA abs $0368 | C5:E410  a2 48       LDX # $48 | C5:E412  80 08       BRA $08 | C5:E414  a9 5d       LDA # $5D,93.0,
C5:E4A1,0x05E4A1,AE88_reset_cursor,imm_5B,#5B,unknown,,,C5:E489  8d 0f 03    STA abs $030F | C5:E48C  a9 0e       LDA # $0E | C5:E48E  8d 10 03    STA abs $0310 | C5:E491  22 10 c9 80 JSL $80:C910 | C5:E495  60          RTS  | C5:E496  5a          PHY  | C5:E497  20 ba db    JSR $DBBA | C5:E49A  a9 01       LDA # $01 | C5:E49C  20 0a dc    JSR $DC0A | C5:E49F  a9 5b       LDA # $5B,91.0,
C5:E6E3,0x05E6E3,AE88_reset_cursor,imm_5F,#5F,unknown,,,C5:E6CC  89 88       OP89 $88 | C5:E6CE  f0 42       BEQ $42 | C5:E6D0  ae db 1f    OPAE $1FDB | C5:E6D3  e0 06       CPX # $06 | C5:E6D5  b0 3b       BCS $3B | C5:E6D7  ec dd 1f    OPEC $1FDD | C5:E6DA  d0 36       BNE $36 | C5:E6DC  a9 02       LDA # $02 | C5:E6DE  20 0a dc    JSR $DC0A | C5:E6E1  a9 5f       LDA # $5F,95.0,
C5:E7C0,0x05E7C0,AE88_reset_cursor,imm_5E,#5E,unknown,,,C5:E7AC  7a          PLY  | C5:E7AD  60          RTS  | C5:E7AE  00 05       OP00 $05 | C5:E7B0  04 03       OP04 $03 | C5:E7B2  02 01       OP02 $01 | C5:E7B4  00 5a       OP00 $5A | C5:E7B6  20 ba db    JSR $DBBA | C5:E7B9  a9 02       LDA # $02 | C5:E7BB  20 0a dc    JSR $DC0A | C5:E7BE  a9 5e       LDA # $5E,94.0,
C5:E827,0x05E827,AE88_reset_cursor,imm_53,#53,unknown,,,C5:E811  c8          INY  | C5:E812  c0 0a       CPY # $0A | C5:E814  90 f6       BCC $F6 | C5:E816  a9 0a       LDA # $0A | C5:E818  8d d9 1f    STA abs $1FD9 | C5:E81B  a9 fa       LDA # $FA | C5:E81D  8d d9 1f    STA abs $1FD9 | C5:E820  a9 00       LDA # $00 | C5:E822  20 0a dc    JSR $DC0A | C5:E825  a9 53       LDA # $53,83.0,
C5:E8E7,0x05E8E7,AE88_reset_cursor,dynamic,C5:E8CF  ad d9 1f    LDA abs $1FD9,unknown,,,C5:E8D4  4a          LSR A  | C5:E8D5  4a          LSR A  | C5:E8D6  4a          LSR A  | C5:E8D7  4a          LSR A  | C5:E8D8  1a          INC A  | C5:E8D9  cd d9 1f    OPCD $1FD9 | C5:E8DC  b0 05       BCS $05 | C5:E8DE  9c d9 1f    STZ abs $1FD9 | C5:E8E1  a2 02       LDX # $02 | C5:E8E3  bf f5 e8 85 OPBF $85:E8F5,,
C5:EAB6,0x05EAB6,AE88_reset_cursor,imm_54,#54,unknown,,,"C5:EAA0  c8          INY  | C5:EAA1  c0 05       CPY # $05 | C5:EAA3  90 f6       BCC $F6 | C5:EAA5  a9 00       LDA # $00 | C5:EAA7  20 0a dc    JSR $DC0A | C5:EAAA  a9 c0       LDA # $C0 | C5:EAAC  99 a7 0b    STA abs,Y $0BA7 | C5:EAAF  a9 40       LDA # $40 | C5:EAB1  99 67 0c    STA abs,Y $0C67 | C5:EAB4  a9 54       LDA # $54",84.0,
C5:EAF3,0x05EAF3,AE88_reset_cursor,imm_08,#08,unknown,,,"C5:EAD8  a8          TAY  | C5:EAD9  20 3e dc    JSR $DC3E | C5:EADC  bf 00 eb 85 OPBF $85:EB00 | C5:EAE0  99 a7 0b    STA abs,Y $0BA7 | C5:EAE3  bf 05 eb 85 OPBF $85:EB05 | C5:EAE7  99 67 0c    STA abs,Y $0C67 | C5:EAEA  da          PHX  | C5:EAEB  bd d4 1f    LDA abs,X $1FD4 | C5:EAEE  aa          TAX  | C5:EAEF  bf 0a eb 85 OPBF $85:EB0A",8.0,
C5:ED19,0x05ED19,AE88_reset_cursor,computed_adc_40,A+#40,unknown,,,C5:ECFC  22 68 bb 80 JSL $80:BB68 | C5:ED00  29 1f       AND # $1F | C5:ED02  18          CLC  | C5:ED03  69 40       ADC # $40 | C5:ED05  8d d7 1f    STA abs $1FD7 | C5:ED08  ae 6a 03    OPAE $036A | C5:ED0B  bf 34 ed 85 OPBF $85:ED34 | C5:ED0F  8d d8 1f    STA abs $1FD8 | C5:ED12  ac d1 1f    OPAC $1FD1 | C5:ED15  af 18 ee 85 OPAF $85:EE18,,
C5:ED24,0x05ED24,AE88_reset_cursor,computed_adc_40,A+#40,unknown,,,C5:ED03  69 40       ADC # $40 | C5:ED05  8d d7 1f    STA abs $1FD7 | C5:ED08  ae 6a 03    OPAE $036A | C5:ED0B  bf 34 ed 85 OPBF $85:ED34 | C5:ED0F  8d d8 1f    STA abs $1FD8 | C5:ED12  ac d1 1f    OPAC $1FD1 | C5:ED15  af 18 ee 85 OPAF $85:EE18 | C5:ED19  22 88 ae 80 JSL $80:AE88 | C5:ED1D  ac d2 1f    OPAC $1FD2 | C5:ED20  af 1b ee 85 OPAF $85:EE1B,,
C5:EDC0,0x05EDC0,AE88_reset_cursor,imm_02,#02,unknown,,,"C5:EDA8  a9 01       LDA # $01 | C5:EDAA  8d d4 1f    STA abs $1FD4 | C5:EDAD  60          RTS  | C5:EDAE  5a          PHY  | C5:EDAF  bc cf 1f    OPBC $1FCF | C5:EDB2  a9 02       LDA # $02 | C5:EDB4  22 a4 bb 80 JSL $80:BBA4 | C5:EDB8  9d d3 1f    STA abs,X $1FD3 | C5:EDBB  aa          TAX  | C5:EDBC  bf c6 ed 85 OPBF $85:EDC6",2.0,
C5:EDFD,0x05EDFD,AE88_reset_cursor,computed_adc_6A,A+#6A,unknown,,,"C5:EDE4  aa          TAX  | C5:EDE5  bf 1b ee 85 OPBF $85:EE1B | C5:EDE9  ac d2 1f    OPAC $1FD2 | C5:EDEC  80 0f       BRA $0F | C5:EDEE  c9 03       CMP # $03 | C5:EDF0  f0 22       BEQ $22 | C5:EDF2  9d d5 1f    STA abs,X $1FD5 | C5:EDF5  bc d1 1f    OPBC $1FD1 | C5:EDF8  aa          TAX  | C5:EDF9  bf 18 ee 85 OPBF $85:EE18",,
C5:EE55,0x05EE55,AE88_reset_cursor,dynamic,"C5:EE4D  b9 d1 1f    LDA abs,Y $1FD1",unknown,,,"C5:EE43  c9 0a       CMP # $0A | C5:EE45  90 12       BCC $12 | C5:EE47  98          TYA  | C5:EE48  aa          TAX  | C5:EE49  1a          INC A  | C5:EE4A  29 01       AND # $01 | C5:EE4C  a8          TAY  | C5:EE4D  b9 d1 1f    LDA abs,Y $1FD1 | C5:EE50  a8          TAY  | C5:EE51  bf 62 ee 85 OPBF $85:EE62",,
C5:EEE7,0x05EEE7,AE88_reset_cursor,imm_03,#03,unknown,,,"C5:EED0  e0 04       CPX # $04 | C5:EED2  90 f8       BCC $F8 | C5:EED4  fa          PLX  | C5:EED5  7a          PLY  | C5:EED6  60          RTS  | C5:EED7  a9 03       LDA # $03 | C5:EED9  20 0a dc    JSR $DC0A | C5:EEDC  bf f0 ee 85 OPBF $85:EEF0 | C5:EEE0  99 a7 0b    STA abs,Y $0BA7 | C5:EEE3  bf f4 ee 85 OPBF $85:EEF4",3.0,
C6:87DB,0x0687DB,AE88_reset_cursor,imm_01,#01,imm_38,8,#$38 -> group 8,"C6:87C0  99 27 0b    STA abs,Y $0B27 | C6:87C3  a9 05       LDA # $05 | C6:87C5  8d 5f 03    STA abs $035F | C6:87C8  a9 01       LDA # $01 | C6:87CA  22 a9 bc 80 JSL $80:BCA9 | C6:87CE  a9 04       LDA # $04 | C6:87D0  8d 5f 03    STA abs $035F | C6:87D3  a9 01       LDA # $01 | C6:87D5  22 83 bc 80 JSL $80:BC83 | C6:87D9  a9 01       LDA # $01",1.0,"C2:53C9 frame_seq=5,2,1,6,1,2,6,1,5,2,5,0,2,0,5,0,3,4,0 dur=2,2,2,3,5,2,5,3,1,1,1,5,2,5,3,3,4,4,255"
C6:8FDE,0x068FDE,AE88_reset_cursor,dynamic,"C6:8FDA  b7 e2       LDA [dp],Y $E2",dynamic_write,,"dynamic STA $0B27,Y","C6:8FC3  a0 01       LDY # $01 | C6:8FC5  b7 e2       LDA [dp],Y $E2 | C6:8FC7  a4 6a       OPA4 $6A | C6:8FC9  22 5e b2 80 JSL $80:B25E | C6:8FCD  ad 83 1f    LDA abs $1F83 | C6:8FD0  22 89 bc 80 JSL $80:BC89 | C6:8FD4  22 0f a3 80 JSL $80:A30F | C6:8FD8  a0 00       LDY # $00 | C6:8FDA  b7 e2       LDA [dp],Y $E2 | C6:8FDC  a4 6a       OPA4 $6A",,
C6:9DD7,0x069DD7,AE88_reset_cursor,imm_01,#01,imm_08,8,#$08 -> group 8,"C6:9DBD  8d 1e 0a    STA abs $0A1E | C6:9DC0  ad 1e 0a    LDA abs $0A1E | C6:9DC3  09 20       ORA # $20 | C6:9DC5  a4 6a       OPA4 $6A | C6:9DC7  99 27 0b    STA abs,Y $0B27 | C6:9DCA  a9 04       LDA # $04 | C6:9DCC  8d 5f 03    STA abs $035F | C6:9DCF  a9 01       LDA # $01 | C6:9DD1  22 83 bc 80 JSL $80:BC83 | C6:9DD5  a9 01       LDA # $01",1.0,"C2:53C9 frame_seq=5,2,1,6,1,2,6,1,5,2,5,0,2,0,5,0,3,4,0 dur=2,2,2,3,5,2,5,3,1,1,1,5,2,5,3,3,4,4,255"
C6:A053,0x06A053,AE88_reset_cursor,imm_04,#04,dynamic_write,,"dynamic STA $0B27,Y",C6:A03A  a9 04       LDA # $04 | C6:A03C  8d 5f 03    STA abs $035F | C6:A03F  a0 00       LDY # $00 | C6:A041  b1 f1       OPB1 $F1 | C6:A043  a4 6a       OPA4 $6A | C6:A045  22 83 bc 80 JSL $80:BC83 | C6:A049  22 0f a3 80 JSL $80:A30F | C6:A04D  a0 03       LDY # $03 | C6:A04F  b1 f1       OPB1 $F1 | C6:A051  a4 6a       OPA4 $6A,4.0,
